LapNumber,LapDistance,CarVelocity,DRS,Corner,CornerSpeed,CornerPhase,Straight,FrontRideHeight,RearRideHeight,CarBalance,TimeToCarAhead,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR
25,249.8255488,0.794261808,Off,-,-,-,T3 - T4,11.12678224,16.97861109,-5.03E-09,3.09589839,19.55467598,12.25735393,9.936991691,17.84950582
25,251.2014816,0.794574529,Off,-,-,-,T3 - T4,10.70642054,16.45975803,1.59E-09,3.098380089,19.46655191,12.51030737,9.758324304,17.68505861
25,252.6007353,0.795869141,Off,-,-,-,-,10.16232671,17.84993406,3.23E-08,3.101858377,19.43698536,12.31198021,9.757430095,17.68423523
25,253.9999891,0.789396418,Off,-,-,-,-,9.40238089,21.60069604,-2.14E-08,3.103849173,19.40477415,12.3116954,9.668509438,17.60234112
25,255.3759219,0.779505504,Off,-,-,-,-,9.779185467,23.57504664,-2.05E-07,3.108663797,19.11145455,12.28594675,9.698235581,17.62972201
25,256.7285338,0.769520042,Off,-,-,-,-,11.46833309,26.23342272,2.10E-07,3.113847256,19.02321186,12.537509,9.697639784,17.62917326
25,258.0811458,0.761716309,Off,-,-,-,-,11.69413535,26.72514896,1.27E-06,3.116407156,18.9627318,12.19730398,9.627076734,17.56417101
25,259.423031,0.754087247,Off,-,-,-,-,11.44705743,27.72737547,-1.80E-06,3.118809462,18.75810706,12.1687232,8.525951771,16.54707995
25,260.7523221,0.746210882,Off,-,-,-,-,10.71318321,25.57959293,-0.0000077,3.121693134,18.7265707,12.13985192,7.791092873,15.86541954
25,262.0582922,0.733338179,Off,T4,Medium speed,Braking,-,10.52579901,26.18185777,0.000014425,3.12323904,18.48948855,12.08269026,7.550432638,15.64167658
25,263.3642624,0.706690896,Off,T4,Medium speed,Braking,-,9.73226522,32.52578103,4.55E-05,3.126761675,18.10949635,12.02526954,6.817452588,14.9586795
25,264.6002698,0.66843639,Off,T4,Medium speed,Braking,-,10.00838702,42.05263966,-0.000109743,3.132735968,17.9488228,11.94044234,6.091045754,14.27950578
25,265.7789088,0.620989102,Off,T4,Medium speed,Braking,-,11.67379613,50.10905783,-0.000259393,3.140698433,16.44206619,11.93844244,5.516735695,13.74090809
25,266.8983118,0.579992731,Off,T4,Medium speed,Braking,-,13.19236494,53.49216644,0.000816773,3.14876318,16.42835996,11.74465011,5.373730315,13.60657038
25,267.9603463,0.544632735,Off,T4,Medium speed,Braking,-,15.40359556,56.69038781,0.001487178,3.164362669,17.95499263,12.15213792,5.345207163,13.5797653
25,268.975739,0.501338168,Off,T4,Medium speed,Braking,-,18.51704343,62.73050955,-0.005415153,3.164402008,20.05360751,13.32301874,5.365657603,13.59898428
25,269.9318957,0.478836337,Off,T4,Medium speed,Braking,-,20.38908172,66.14105449,-0.004957934,3.168308735,28.52420851,14.07989311,7.418699543,15.51909788
25,270.8414106,0.450894553,Off,T4,Medium speed,Braking,-,21.21711462,63.67785116,0.057345338,3.169367552,32.61966882,15.65118431,8.210121091,16.25439715
25,271.7276047,0.42374545,Off,T4,Medium speed,Entry,-,23.44591084,64.63900054,0.154433698,3.16970706,27.79014803,16.20694729,8.524154906,16.54541599
25,272.5797511,0.404385431,Off,T4,Medium speed,Entry,-,24.83608595,67.97349134,0.180643842,3.171639919,29.13410909,17.20596913,10.57079612,18.43177951
25,273.3959824,0.386050914,Off,T4,Medium speed,Entry,-,25.5102288,68.23054745,0.165283278,3.166214466,29.60794278,17.64057154,10.36141931,18.23961293
25,274.1888929,0.364341819,Off,T4,Medium speed,Entry,-,26.41093546,70.17975349,0.186659932,3.166098356,28.13562101,20.83053632,10.39285761,18.26847884
25,274.9584824,0.347389082,Off,T4,Medium speed,Entry,-,26.57199588,70.39999926,0.2092565,3.154503822,28.47932621,24.09105582,10.55657333,18.41873162
25,275.7047511,0.330814542,Off,T4,Medium speed,Entry,-,28.29004605,72.26920437,0.239968449,3.145650148,28.16122257,27.11016072,11.94972714,19.69278425
25,276.4169721,0.318887274,Off,T4,Medium speed,Entry,-,28.46157568,73.77372587,0.26083228,3.136768579,29.83743451,37.07909894,12.45421773,20.15215633
25,277.1399199,0.308298173,Off,T4,Medium speed,Apex,-,27.9481244,70.49047217,0.221441254,3.129258633,34.06990682,37.82299525,14.19848871,21.73237615
25,277.8162259,0.298989091,Off,T4,Medium speed,Apex,-,30.35333349,69.25794371,0.14854233,3.120581388,39.35824526,40.46958705,16.28870138,23.6097829
25,278.505126,0.290378196,Off,T4,Medium speed,Apex,-,33.54463323,71.44356187,0.028504567,3.112520456,45.97081488,43.31575284,18.49909417,25.57629953
25,279.1688378,0.28781816,Off,T4,Medium speed,Apex,-,33.99259717,72.20889071,0.015528434,3.103446007,53.78781975,47.5193923,22.11364792,28.75151601
25,279.8344171,0.275876354,Off,T4,Medium speed,Apex,-,33.11537718,72.45177428,0.240924135,3.090395927,63.24262563,39.99666694,22.11364792,28.75151601
25,280.4874022,0.273352717,Off,T4,Medium speed,Apex,-,30.65073461,71.44624156,0.388732165,3.077701092,66.78197868,32.37806061,22.11364792,28.75151601
25,281.127793,0.268363647,Off,T4,Medium speed,Apex,-,28.2165488,66.43740562,0.342202485,3.065371752,70.23787546,34.57662968,22.11364792,28.75151601
25,281.7700514,0.261432717,Off,T4,Medium speed,Apex,-,28.88838859,64.09666789,0.286097765,3.047827959,68.92473638,40.11383476,22.11364792,28.75151601
25,282.3997156,0.256145463,Off,T4,Medium speed,Apex,-,30.80625837,67.18701422,0.294102162,3.029221296,80.03952359,40.93766568,22.11364792,28.75151601
25,283.0060589,0.248094538,Off,T4,Medium speed,Apex,-,32.17345221,69.75854876,0.323679388,3.013138771,89.12991567,41.11512297,22.11364792,28.75151601
25,283.6124022,0.234465443,Off,T4,Medium speed,Apex,-,32.68425106,70.14379773,0.320861846,2.99683547,96.61288385,41.17027137,22.11364792,28.75151601
25,284.1954245,0.228596358,Off,T4,Medium speed,Apex,-,33.38005881,71.9793454,0.320842773,2.97981286,106.2602362,40.62880724,22.11364792,28.75151601
25,284.7784469,0.225985468,Off,T4,Medium speed,Apex,-,33.38404486,73.08787867,0.351731062,2.965851545,117.29969,41.01834442,22.11364792,28.75151601
25,285.3614693,0.223003623,Off,T4,Medium speed,Apex,-,34.21072163,74.27511704,0.434478939,2.95350337,122.7048076,40.57560115,22.11364792,28.75151601
25,285.9444917,0.214021828,Off,T4,Medium speed,Apex,-,36.16411094,77.15925755,0.533500612,2.940137148,128.2380876,38.77359704,22.11364792,28.75151601
25,286.5041932,0.213483637,Off,T4,Medium speed,Apex,-,36.75795497,78.73536548,0.572776199,2.926501513,130.6712608,42.52472445,22.11364792,28.75151601
25,287.0638947,0.208109103,Off,T4,Medium speed,Exit,-,37.25075833,76.51590023,0.56099391,2.914149523,140.0775613,42.2670524,22.11364792,28.75151601
25,287.6128695,0.205549094,Off,T4,Medium speed,Exit,-,38.36669658,73.23402445,0.547400475,2.901841164,145.1100235,43.93778934,22.11364792,28.75151601
25,288.1599768,0.209047269,Off,T4,Medium speed,Exit,-,39.93516108,71.26576516,0.534988761,2.890068293,144.3564708,45.99630108,22.11364792,28.75151601
25,288.7196783,0.213723644,Off,T4,Medium speed,Exit,-,41.40952239,70.4076579,0.529636085,2.880836725,150.1109261,46.37977732,22.11364792,28.75151601
25,289.291974,0.215549094,Off,T4,Medium speed,Exit,-,42.0324492,70.26171667,0.457126498,2.873041868,146.1750144,48.84360357,22.11364792,28.75151601
25,289.8624022,0.223549083,Off,T4,Medium speed,Exit,-,43.75728434,70.90972168,0.329462528,2.873020887,148.8226011,50.9583986,22.35793442,28.96433597
25,290.4454245,0.226392739,Off,T4,Medium speed,Exit,-,45.34029105,72.08194985,0.236821786,2.870920181,146.6496053,52.51486656,49.56163957,51.41793357
25,291.0284469,0.234894548,Off,T4,Medium speed,Exit,-,43.16428704,69.18908713,0.164772853,2.867990732,140.2974617,54.77529055,49.14265436,51.08887597
25,291.6347902,0.242414551,Off,T4,Medium speed,Exit,-,41.65296956,64.2011081,0.117842347,2.867981911,146.6504778,49.60072528,49.42353578,51.30952293
25,292.2411335,0.24826183,Off,T4,Medium speed,Exit,-,41.93657343,62.74593051,0.026766896,2.867198467,136.0184025,48.47978897,52.24846627,53.51709534
25,292.8582035,0.256429083,Off,T4,Medium speed,Exit,-,41.84170737,62.64238141,-0.070390761,2.8772192,131.5510068,45.79173309,53.29708793,54.33129198
25,293.4878677,0.265265447,Off,T4,Medium speed,Exit,-,40.43860622,59.42863508,-0.120269425,2.87727356,127.1691799,48.66783083,54.27631423,55.0890863
25,294.130126,0.275476352,Off,T4,Medium speed,Exit,-,40.23163827,56.8416148,-0.092428208,2.882758856,122.6046942,42.76198016,56.24214137,56.60315165
25,294.7938378,0.285199973,Off,T4,Medium speed,Exit,-,40.94384204,56.09426338,-2.90E-05,2.892353535,119.8352255,40.54609984,58.73196577,58.50724406
25,295.4701438,0.299876376,Off,T4,Medium speed,Exit,-,41.71549803,55.40516602,0.087949239,2.901854277,116.7619639,38.80897084,60.96834637,60.20494951
25,296.1464498,0.311672752,Off,T4,Medium speed,Exit,-,40.95510921,53.2037405,0.077440456,2.909455776,113.7605191,38.54276913,60.85307013,60.11772508
25,296.8693975,0.327279996,Off,T4,Medium speed,Exit,-,37.27637279,47.94861341,-0.009535277,2.919265509,107.6769115,40.43440624,58.57057544,58.38427196
25,297.603072,0.341476385,Off,T4,Medium speed,Exit,-,33.01525795,41.22597883,-0.060826294,2.940501928,104.3201871,38.73734807,58.41442466,58.26523315
25,298.3619348,0.35725819,Off,-,-,-,-,30.29642279,37.45797649,-0.134204999,2.940501928,98.96958494,38.85572894,60.94461933,60.18699882
25,299.1422511,0.372320002,Off,-,-,-,-,29.26639763,35.16448478,-0.145259172,2.940742493,96.27493452,36.87652839,67.88264577,65.38200617
25,299.9351615,0.386065452,Off,-,-,-,-,32.03806003,38.0110231,-0.037397724,2.964546919,92.06913059,38.3919578,68.04689102,65.50371293
25,300.7621196,0.406218206,Off,-,-,-,-,35.81508282,43.82612876,0.02505835,2.964663029,90.20938602,34.41012369,69.95888324,66.91632212
25,301.614266,0.419439975,Off,-,-,-,-,34.88313229,44.39445641,-0.044965409,2.976282358,85.84785718,35.23742819,70.97309025,67.66253971
25,302.4771391,0.434632735,Off,-,-,-,-,30.57992167,37.80672784,-0.095002554,2.988337278,83.24098546,37.39038129,64.23483856,62.66395042
25,303.3633332,0.445010931,Off,-,-,-,-,31.59316154,39.68844303,-0.010977612,2.997252226,81.737726,35.87322256,61.44627471,60.56624948
25,304.2602539,0.458596358,Off,-,-,-,-,33.55510327,44.4479316,0.019728681,3.003887177,78.6408009,33.35564075,62.56749489,61.4118041
25,305.1930897,0.471483654,Off,-,-,-,-,31.052837,40.41762984,-0.014424389,3.007938862,75.58052798,30.04025544,63.28204427,61.94918303
25,306.1366522,0.490530895,Off,-,-,-,-,28.12234101,35.18292048,-0.007937486,3.010971546,70.56496895,31.54056856,55.70040591,56.18686511
25,307.1054032,0.498574552,Off,-,-,-,-,28.56121968,38.28715059,-0.000587759,3.010031462,69.58858696,27.95343298,62.33949219,61.2400908
25,308.0722866,0.509396362,Off,-,-,-,-,27.85376934,37.67300859,-0.003820782,3.010923386,67.59233225,25.16677777,63.77378171,62.31832814
25,309.0643584,0.51731634,Off,-,-,-,-,27.52125936,37.81940176,0.023129495,3.010977745,65.38898105,23.95103965,57.7520781,57.75965725
25,310.0671569,0.528072732,Off,-,-,-,-,26.0569009,36.68204901,0.073150382,3.010119438,63.62260798,24.30708723,53.26371405,54.3054222
25,311.0806821,0.535265447,Off,T5,Non-limited,Entry,-,24.04764488,35.05962286,0.067009963,3.005043507,62.90374873,24.18812271,50.89071652,52.45867239
25,312.1068015,0.543759988,Off,T5,Non-limited,Entry,-,24.05652335,33.74277644,0.036284544,3.000976086,60.34240028,21.29791352,46.24466854,48.79991796
25,313.1562418,0.548356379,Off,T5,Non-limited,Entry,-,26.71522804,38.1718678,0.058188997,2.994557619,60.42054591,20.33509286,42.57809662,45.87045864
25,314.2056821,0.560239979,Off,T5,Non-limited,Entry,-,25.2449333,36.95633134,0.07475736,2.988149166,60.09734168,18.30793812,40.65892417,44.32168404
25,315.2551224,0.566305431,Off,T5,Non-limited,Entry,-,23.70807445,34.73036969,0.048253589,2.976782084,58.6588635,17.43058006,38.89174313,42.8859037
25,316.3278836,0.574189065,Off,T5,Non-limited,Entry,-,23.26458871,34.34853395,0.038540341,2.967927217,58.40816011,16.86766835,37.72802201,41.93525417
25,317.4113715,0.579280007,Off,T5,Non-limited,Entry,-,23.89976177,35.54150944,0.039032437,2.958399534,57.21061364,15.62646582,36.94590506,41.29400015
25,318.4967269,0.585810935,Off,T5,Non-limited,Entry,-,23.60473246,35.2827884,0.04022643,2.946682692,56.4891991,15.53786954,35.1983099,39.85425648
25,319.6035357,0.592516369,Off,T5,Non-limited,Entry,-,22.20906694,33.2490206,0.056072388,2.935445309,55.53975938,15.29609011,34.3613149,39.16128132
25,320.712212,0.599505449,Off,T5,Non-limited,Entry,-,21.78011132,32.46844118,0.070967749,2.92736721,55.23249258,14.11981619,32.94253417,37.98147903
25,321.8316149,0.606581809,Off,T5,Non-limited,Entry,-,22.04198734,32.93798152,0.060931306,2.91599679,54.85071638,13.91420945,31.80203471,37.02832371
25,322.9617446,0.612334539,Off,T5,Non-limited,Entry,-,22.05858741,32.64571988,0.038007658,2.904284239,53.74000006,13.33682444,31.28787243,36.59721515
25,324.0811476,0.616160001,Off,T5,Non-limited,Entry,-,21.53392255,32.61300284,0.013006677,2.895242691,53.53685626,12.59822644,30.78073618,36.17113467
25,325.2238715,0.621127264,Off,T5,Non-limited,Entry,-,21.02923081,31.51511166,0.000860412,2.885026693,53.33485651,12.59966223,30.74314759,36.13951961
25,326.3791896,0.626567272,Off,T5,Non-limited,Entry,-,21.8714874,32.89005408,0.043769002,2.875750065,53.2245667,12.7426517,30.59409123,36.01410443
25,327.5326401,0.636050914,Off,T5,Non-limited,Entry,-,20.53335458,31.05052832,0.091122136,2.86706996,52.24390857,12.8556164,30.12267171,35.61696251
25,328.6986849,0.638785456,Off,T5,Non-limited,Entry,-,19.05860996,30.15859013,0.074426368,2.860132456,51.78299862,12.79797481,29.74534859,35.29854998
25,329.8647297,0.642850897,Off,T5,Non-limited,Entry,-,16.64603662,28.8975651,0.035399005,2.850817919,51.65085211,12.70366554,27.89768825,33.73233922
25,331.0540954,0.639185458,Off,T5,Non-limited,Apex,-,14.84501894,30.39368081,0.02172922,2.850750923,51.7508972,11.79914313,27.7193168,33.58051545
25,332.2201401,0.636443648,Off,T5,Non-limited,Apex,-,14.3560191,31.97257544,0.038632698,2.84406352,51.77468423,11.93987374,27.471387,33.369302
25,333.3754582,0.62799272,Off,T5,Non-limited,Apex,-,16.80603497,35.89590911,0.045862056,2.837773323,52.21825434,11.88676526,27.24841013,33.17916296
25,334.5289088,0.623214555,Off,T6,High speed,Braking,-,19.82893928,41.54145275,0.021246309,2.828348637,51.85700756,12.22132386,25.98939505,32.10228511
25,335.660906,0.604552723,Off,T6,High speed,Braking,-,21.33055362,48.33644037,-0.082686938,2.82831645,52.39686466,11.74042879,25.3896932,31.58736541
25,336.7677148,0.585876354,Off,T6,High speed,Braking,-,21.92906035,54.64580346,-0.069811076,2.825076103,53.03668547,11.71380019,24.11469057,30.48832799
25,337.8530702,0.574901844,Off,T6,High speed,Entry,-,20.25142999,54.65594961,0.143197477,2.819848061,53.53887814,11.28648305,23.2539493,29.7430466
